a,啊嗄阿
kui,亏刲匮喟喹嘳夔奎媿嬇尯岿巋巙悝愦愧憒戣揆溃盔葵馈魁
kun,困坤堃堒壸壼婫尡崐崑悃捆昆
kuo,廓懖扩拡括挄阔
la,剌啦喇嚹垃拉揦揧腊蜡辣
lai,來俫倈唻婡崃崍庲徕徠来莱赖
lan,儖兰厱嚂囒囕壈婪嬾孄孏岚嵐幱惏懒懢懶拦揽澜烂篮缆蓝览
lang,勆唥啷埌塱嫏崀廊朗浪狼郎
lao,佬僗劳労勞咾哰唠嗠嘮姥嫪崂嶗恅憥憦捞牢老
le,乐了仂叻忇扐肋
lei,傫儡儽勒厽嘞垒塁壘壨嫘泪类累雷
leng,倰冷堎塄崚愣棱楞
li,丽例俐俚俪傈儮儷兣凓刕利剓剺劙力励勵历厉厘厤厯厲吏呖哩唎唳喱嚟嚦囄囇坜塛壢娌娳婯嫠孋孷屴岦峛峢峲巁廲悡悧悷慄戾李梨狸理璃礼离立里黎
lia,俩倆
lian,亷僆劆匲匳嗹噒堜奁奩媡嫾嬚帘廉怜恋慩憐戀炼练联脸莲连链
liang,両两亮俍兩凉哴唡啢喨墚悢掚梁粮良谅辆量
liao,僚叾嘹嫽寥寮尞尥尦屪嵺嶚嶛廖廫憀憭撩料燎疗聊辽
lie,儠冽列劣劽咧哷埒埓姴巤挒挘捩烈猎裂
lin,临亃僯冧凛凜厸吝啉壣崊嶙廩廪恡悋懍懔拎林淋磷邻鳞
ling,令伶凌刢另呤囹坽夌姈婈孁岭岺嶺彾掕灵菱铃陵零领龄
liu,六刘劉嚠塯媹嬼嵧廇懰柳榴流浏溜留硫
lo,囖
long,儱咙哢嚨垄垅壟壠屸嶐巃巄徿拢笼聋隆龙
lou,偻僂剅喽嘍塿娄婁屚嵝嶁廔慺搂楼漏
lu,侓僇剹勎勠卢卤噜嚕嚧圥坴垆塶塷壚娽峍庐廘廬彔录戮掳炉芦路陆露鲁鹿
luan,乱亂卵圝圞奱娈孌孪孿峦巒挛
lun,仑伦侖倫囵圇埨婨崘崙惀抡掄沦论轮
luo,倮儸剆啰囉峈络罗落螺骆
lv,侣侶儢勴吕呂垏寽屡屢履嵂律慮挔捋捛旅滤率绿虑铝驴
lve,圙掠略
m,呣
ma,亇傌吗唛嗎嘛嘜妈媽嫲嬤嬷孖码蚂马骂麻
mai,买佅劢勱卖嘪埋売脉迈麦
man,僈墁姏嫚屘幔悗慢慲满漫蛮馒
mang,吂哤壾娏尨庬忙恾盲芒茫
mao,乮兞冃冇冐冒卯堥夘媢峁帽愗懋戼毛猫矛貌贸锚
me,么嚒嚜
mei,凂呅坆堳塺妹娒媄媒媚媺嬍寐嵄嵋徾抺挴枚梅每没煤眉美霉
men,们們悶懑懣扪捫门闷
meng,儚冡勐夢夣孟幪懜懞懵掹梦猛萌蒙
mi,侎冖冞冪咪嘧塓孊宓宻密峚幂幎幦弥弭彌戂眯秘米蜜谜迷
mian,丏偭免冕勉勔喕娩婂媔嬵宀愐棉眠绵面
miao,喵妙媌嫹庙庿廟描瞄秒苗
mie,乜吀咩哶孭幭懱灭蔑
min,僶冺刡勄垊姄岷崏忞怋悯惽愍慜憫抿捪敏民皿
ming,佲冥凕名命姳嫇慏掵明铭鸣
miu,谬
mo,劘劰唜嗼嚤嚩嚰圽塻墨妺嫫嫼寞尛帓帞庅怽懡抹摸末模磨膜莫魔默
mou,侔劺哞恈某谋
mu,亩仫凩募坶墓墲姆峔幕幙慔慕拇木母牧目
n,嗯
na,乸吶呐哪嗱妠娜拏拿挐捺纳那钠
nai,乃倷奈奶嬭孻廼耐
nan,侽南喃囡娚婻戁抩揇楠男难
nang,乪儾嚢囊囔
nao,匘呶垴堖夒嫐孬峱嶩巎怓恼悩惱憹挠脑闹
ne,呢抐
nei,內内娞馁
nen,嫩嫰恁
neng,能
ni,伱伲你倪儗儞匿坭埿堄妮妳婗嫟嬺孴尼屔屰怩惄愵抳拟泥腻逆
nian,卄哖唸埝姩年廿念拈捻碾
niang,娘嬢孃酿
niao,嫋嬝嬲尿鸟
nie,啮喦嗫噛嚙囁囓圼孼孽嵲嶭巕帇惗捏揑聂镍
nin,囜您拰
ning,佞侫倿儜凝咛嚀嬣宁寍寕寗寜寧拧柠
niu,妞忸扭牛纽钮
nong,侬儂农哝噥弄挊挵浓
nou,啂
nu,伮傉努奴孥弩怒
nuan,奻暖
nuo,傩儺喏愞懦懧挪掿糯诺
nv,女恧
nve,虐
o,哦喔噢
ou,偶吘呕嘔塸怄慪欧鸥
pa,啪妑帊帕怕掱爬趴
pai,俳哌廹徘拍排派牌
pan,冸判叛媻幋拚攀畔盘盼
pang,乓厐厖嗙嫎庞彷徬旁胖螃
pao,刨匏咆垉奅庖抛拋泡炮袍跑
pei,伂佩俖呸培姵嶏帔怌胚赔配陪
pen,呠喯喷噴盆
peng,倗剻匉嘭堋塳弸彭怦恲憉抨挷捧掽朋棚烹碰膨鹏
pi,丕仳伓伾僻劈匹啤噼噽嚊嚭圮坯埤壀媲嫓屁岯崥庀悂憵批披抷揊疲癖皮
pian,偏囨媥片篇骗
piao,僄剽勡嘌嫖彯徱慓漂瓢票飘
